1612050000000;34262.89000000;34341.00000000;34003.00000000;34334.43000000;17023573.20430564
1612050000000;34525.88000000;34553.51000000;34164.78000000;34262.88000000;105866416.75467381
1612040000000;34675.53000000;34800.00000000;34516.78000000;34526.13000000;72560499.44122176
1612040000000;34157.50000000;34690.00000000;33966.40000000;34675.53000000;71593702.94556996
1612040000000;34286.50000000;34449.69000000;34080.00000000;34154.63000000;69243326.64227957
1612030000000;34340.00000000;34400.02000000;34028.87000000;34286.50000000;70129136.65266194
1612030000000;34252.02000000;34351.00000000;34110.12000000;34340.00000000;77330554.26582136
1612030000000;33956.70000000;34290.44000000;33943.00000000;34253.67000000;113757762.40424967
1612020000000;34210.18000000;34262.35000000;33520.00000000;33956.70000000;189129789.50111192
1612020000000;34234.73000000;34500.00000000;34057.22000000;34210.20000000;101381388.78716153
1612020000000;34237.69000000;34400.00000000;34000.00000000;34234.73000000;102418819.17762771
1612010000000;33751.77000000;34349.63000000;33666.67000000;34237.69000000;102524279.83412895
1612010000000;33660.40000000;33832.78000000;33410.63000000;33751.77000000;101034454.78274613
1612000000000;34299.82000000;34328.59000000;33510.00000000;33660.40000000;123663790.64396261
1612000000000;34253.17000000;34392.00000000;33870.95000000;34299.82000000;135598002.40291819
1612000000000;33883.85000000;34424.70000000;33809.39000000;34253.18000000;115712942.60375289
1611990000000;34046.82000000;34358.97000000;33775.44000000;33887.50000000;167229239.26552966
1611990000000;33809.79000000;34200.00000000;33400.00000000;34046.80000000;130607799.65151298
1611990000000;33503.72000000;33850.00000000;33137.80000000;33809.79000000;123147576.69048441
1611980000000;33503.14000000;33986.40000000;33174.55000000;33503.72000000;122187543.51567719
1611980000000;33273.36000000;33656.08000000;33001.52000000;33503.13000000;139795812.00459418
1611980000000;33861.55000000;34000.00000000;32825.00000000;33273.36000000;226871612.32579531
1611970000000;34123.06000000;34443.96000000;33674.70000000;33862.51000000;135885410.39249829
1611970000000;34250.10000000;34933.00000000;33927.00000000;34123.05000000;133177861.93823476
1611960000000;34246.28000000;34861.56000000;34214.91000000;34250.10000000;153652340.31386364
1611960000000;34485.98000000;34640.19000000;33700.00000000;34252.20000000;169455913.61722583
1611960000000;34628.68000000;35354.94000000;34250.00000000;34485.98000000;142225092.01062971
1611950000000;34574.61000000;34813.00000000;34120.00000000;34635.53000000;162228512.71159393
1611950000000;34322.50000000;34953.87000000;33843.22000000;34574.61000000;264479532.26727039
1611950000000;35204.22000000;35357.14000000;33500.00000000;34318.57000000;391476682.66882703
1611940000000;35741.23000000;35999.99000000;34600.00000000;35202.46000000;394534372.45788041
1611940000000;36038.73000000;36429.00000000;35564.00000000;35741.23000000;290408716.86866321
1611940000000;37129.40000000;37569.00000000;35808.00000000;36039.18000000;380518661.93210766
1611930000000;37058.49000000;37517.80000000;36700.00000000;37129.40000000;264499608.70012400
1611930000000;38250.01000000;38448.39000000;36456.78000000;37058.49000000;463253682.69542364
1611930000000;37842.07000000;38531.90000000;36979.32000000;38250.03000000;384835263.32981755
1611920000000;37023.83000000;37869.00000000;36534.42000000;37840.07000000;367797382.70437782
1611920000000;36617.23000000;37208.94000000;36421.93000000;37025.32000000;368826783.70134898
1611910000000;36875.50000000;37200.00000000;35489.41000000;36617.23000000;485592406.11867599
1611910000000;36223.22000000;37990.00000000;34591.83000000;36877.16000000;1170981431.47062844
1611910000000;32266.36000000;36600.00000000;32006.91000000;36240.24000000;657349614.70597752
1611900000000;32483.74000000;32626.98000000;31915.40000000;32266.35000000;217124621.14715226
1611900000000;32980.31000000;32982.33000000;32330.55000000;32483.74000000;239141992.70319997
1611900000000;33062.81000000;33193.57000000;32755.56000000;32980.32000000;187802687.24984144
1611890000000;33728.99000000;33934.48000000;32750.47000000;33062.82000000;285624020.41362311
1611890000000;33969.21000000;34114.95000000;33501.00000000;33733.58000000;230537722.15599612
1611890000000;33906.56000000;34201.14000000;33770.00000000;33969.20000000;157806808.79234403
1611880000000;34150.23000000;34304.52000000;33666.66000000;33906.57000000;173979318.36195852
1611880000000;33368.18000000;34310.00000000;33330.93000000;34150.23000000;345112507.44377908
1611870000000;33469.67000000;33783.98000000;33026.00000000;33364.86000000;236396528.89314326
1611870000000;33183.53000000;33488.66000000;33126.02000000;33469.67000000;128353179.79633502
1611870000000;32577.97000000;33295.55000000;32577.96000000;33183.53000000;141857003.13632579
1611860000000;32564.71000000;32900.00000000;32392.34000000;32577.96000000;117534541.55066396
1611860000000;32633.69000000;32747.78000000;32458.81000000;32564.71000000;126986355.88489445
1611860000000;32281.50000000;32670.00000000;32103.44000000;32633.68000000;129390876.29705323
1611850000000;32425.71000000;32490.00000000;32160.06000000;32281.49000000;114139227.61665858
1611850000000;31926.49000000;32436.58000000;31650.00000000;32425.71000000;174979094.42632400
1611850000000;31829.74000000;32203.38000000;31680.69000000;31926.49000000;187319000.48965448
1611840000000;31775.12000000;32150.00000000;31612.52000000;31830.53000000;175852428.14608458
1611840000000;31477.95000000;31840.00000000;31161.96000000;31775.12000000;114583718.01587223
1611840000000;31437.37000000;31713.43000000;31273.54000000;31477.95000000;107019921.32660812
1611830000000;31490.29000000;31600.00000000;31178.80000000;31437.37000000;81896616.46288308
1611830000000;31473.33000000;31585.39000000;31030.00000000;31490.29000000;94762331.47706407
1611820000000;31070.47000000;31483.44000000;30812.26000000;31466.91000000;109938694.57514089
1611820000000;31170.20000000;31303.15000000;31001.55000000;31070.47000000;84068402.83496546
1611820000000;31564.75000000;31597.76000000;31080.00000000;31170.53000000;87885465.19554526
